,Year,County,Morphine_equ,State,FIPS,Deaths,Year_Changed,Population,Deaths_PC,Morphine_Equivalents_PC
12697,2003.0,LOWNDES,0.0,AL,,0.0,Control,13415.0,0.0,0.0
12698,2003.0,MACON,0.0,AL,,0.0,Control,23494.0,0.0,0.0
12699,2003.0,MADISON,0.0,AL,,0.0,Control,289343.0,0.0,0.0
12700,2003.0,MARENGO,0.0,AL,,0.0,Control,22204.0,0.0,0.0
12701,2003.0,MARION,0.0,AL,,0.0,Control,30256.0,0.0,0.0
12688,2003.0,HALE,0.0,AL,,0.0,Control,18328.0,0.0,0.0
12702,2003.0,MARSHALL,0.0,AL,,0.0,Control,84110.0,0.0,0.0
12704,2003.0,MONTGOMERY,0.0,AL,,0.0,Control,222516.0,0.0,0.0
12705,2003.0,MORGAN,0.0,AL,,0.0,Control,112856.0,0.0,0.0
12706,2003.0,PERRY,0.0,AL,,0.0,Control,11685.0,0.0,0.0
12707,2003.0,PICKENS,0.0,AL,,0.0,Control,20545.0,0.0,0.0
12708,2003.0,PIKE,0.0,AL,,0.0,Control,29147.0,0.0,0.0
12709,2003.0,RANDOLPH,0.0,AL,,0.0,Control,22389.0,0.0,0.0
12710,2003.0,RUSSELL,0.0,AL,,0.0,Control,48998.0,0.0,0.0
12711,2003.0,SAINT  CLAIR,0.0,AL,,0.0,Control,68590.0,0.0,0.0
12712,2003.0,SHELBY,0.0,AL,,0.0,Control,159641.0,0.0,0.0
12713,2003.0,SUMTER,0.0,AL,,0.0,Control,14202.0,0.0,0.0
12714,2003.0,TALLADEGA,0.0,AL,,0.0,Control,80107.0,0.0,0.0
12715,2003.0,TALLAPOOSA,0.0,AL,,0.0,Control,40805.0,0.0,0.0
12716,2003.0,TUSCALOOSA,0.0,AL,,0.0,Control,166178.0,0.0,0.0
12703,2003.0,MONROE,0.0,AL,,0.0,Control,23833.0,0.0,0.0
12687,2003.0,GREENE,0.0,AL,,0.0,Control,9901.0,0.0,0.0
12686,2003.0,GENEVA,0.0,AL,,0.0,Control,25556.0,0.0,0.0
12685,2003.0,FRANKLIN,0.0,AL,,0.0,Control,30817.0,0.0,0.0
13414,2003.0,ADAMS,0.0,ID,,0.0,Control,3469.0,0.0,0.0
12657,2003.0,AUTAUGA,0.0,AL,,0.0,Control,46348.0,0.0,0.0
12658,2003.0,BARBOUR,0.0,AL,,0.0,Control,28805.0,0.0,0.0
12659,2003.0,BIBB,0.0,AL,,0.0,Control,21224.0,0.0,0.0
12660,2003.0,BLOUNT,0.0,AL,,0.0,Control,54195.0,0.0,0.0
12661,2003.0,BULLOCK,0.0,AL,,0.0,Control,11330.0,0.0,0.0
12662,2003.0,BUTLER,0.0,AL,,0.0,Control,20765.0,0.0,0.0
12663,2003.0,CALHOUN,0.0,AL,,0.0,Control,112097.0,0.0,0.0
12664,2003.0,CHAMBERS,0.0,AL,,0.0,Control,35804.0,0.0,0.0
12665,2003.0,CHEROKEE,0.0,AL,,0.0,Control,24431.0,0.0,0.0
12666,2003.0,CHILTON,0.0,AL,,0.0,Control,40996.0,0.0,0.0
12667,2003.0,CHOCTAW,0.0,AL,,0.0,Control,15351.0,0.0,0.0
12668,2003.0,CLARKE,0.0,AL,,0.0,Control,27448.0,0.0,0.0
12669,2003.0,CLAY,0.0,AL,,0.0,Control,14213.0,0.0,0.0
12670,2003.0,CLEBURNE,0.0,AL,,0.0,Control,14623.0,0.0,0.0
12671,2003.0,COFFEE,0.0,AL,,0.0,Control,44500.0,0.0,0.0
12672,2003.0,COLBERT,0.0,AL,,0.0,Control,54675.0,0.0,0.0
12673,2003.0,CONECUH,0.0,AL,,0.0,Control,13577.0,0.0,0.0
12674,2003.0,COOSA,0.0,AL,,0.0,Control,11573.0,0.0,0.0
12675,2003.0,COVINGTON,0.0,AL,,0.0,Control,36929.0,0.0,0.0
12676,2003.0,CRENSHAW,0.0,AL,,0.0,Control,13672.0,0.0,0.0
12677,2003.0,CULLMAN,0.0,AL,,0.0,Control,78498.0,0.0,0.0
12678,2003.0,DALE,0.0,AL,,0.0,Control,49332.0,0.0,0.0
12679,2003.0,DALLAS,0.0,AL,,0.0,Control,45071.0,0.0,0.0
12680,2003.0,DEKALB,0.0,AL,,0.0,Control,66368.0,0.0,0.0
12681,2003.0,ELMORE,0.0,AL,,0.0,Control,70623.0,0.0,0.0
