,State,County,FIPS,Year,Population
7796,MO,DEKALB,29063,2008,12833.0
7797,MO,DENT,29065,2008,15495.0
7798,MO,DOUGLAS,29067,2008,13800.0
7799,MO,DUNKLIN,29069,2008,32158.0
7800,MO,FRANKLIN,29071,2008,101149.0
7801,MO,GASCONADE,29073,2008,15309.0
7802,MO,GENTRY,29075,2008,6806.0
7803,MO,GREENE,29077,2008,270901.0
7804,MO,GRUNDY,29079,2008,10196.0
7805,MO,HARRISON,29081,2008,8956.0
7806,MO,HENRY,29083,2008,22291.0
7807,MO,HICKORY,29085,2008,9592.0
7808,MO,HOLT,29087,2008,4926.0
7809,MO,HOWARD,29089,2008,10138.0
7810,MO,HOWELL,29091,2008,39910.0
7811,MO,IRON,29093,2008,10667.0
7812,MO,JACKSON,29095,2008,665427.0
7813,MO,JASPER,29097,2008,115144.0
7814,MO,JEFFERSON,29099,2008,216409.0
7815,MO,JOHNSON,29101,2008,51889.0
7816,MO,KNOX,29103,2008,4117.0
7817,MO,LACLEDE,29105,2008,35518.0
7818,MO,LAFAYETTE,29107,2008,33434.0
7819,MO,LAWRENCE,29109,2008,38508.0
7820,MO,LEWIS,29111,2008,10196.0
7821,MO,LINCOLN,29113,2008,51847.0
7822,MO,LINN,29115,2008,12788.0
7823,MO,LIVINGSTON,29117,2008,14929.0
7824,MO,MCDONALD,29119,2008,22943.0
7825,MO,MACON,29121,2008,15512.0
7826,MO,MADISON,29123,2008,12396.0
7827,MO,MARIES,29125,2008,9191.0
7828,MO,MARION,29127,2008,28550.0
7829,MO,MERCER,29129,2008,3748.0
7830,MO,MILLER,29131,2008,24867.0
7831,MO,MISSISSIPPI,29133,2008,14087.0
7832,MO,MONITEAU,29135,2008,15424.0
7833,MO,MONROE,29137,2008,9157.0
7834,MO,MONTGOMERY,29139,2008,12273.0
7835,MO,MORGAN,29141,2008,20745.0
7836,MO,NEW MADRID,29143,2008,18805.0
7837,MO,NEWTON,29145,2008,57600.0
7838,MO,NODAWAY,29147,2008,23026.0
7839,MO,OREGON,29149,2008,10697.0
7840,MO,OSAGE,29151,2008,13753.0
7841,MO,OZARK,29153,2008,9718.0
7842,MO,PEMISCOT,29155,2008,18552.0
7843,MO,PERRY,29157,2008,18976.0
7844,MO,PETTIS,29159,2008,41565.0
7845,MO,PHELPS,29161,2008,44200.0
7846,MO,PIKE,29163,2008,18602.0
7847,MO,PLATTE,29165,2008,87003.0
7848,MO,POLK,29167,2008,30790.0
7849,MO,PULASKI,29169,2008,48300.0
7850,MO,PUTNAM,29171,2008,5028.0
7851,MO,RALLS,29173,2008,10117.0
7852,MO,RANDOLPH,29175,2008,25597.0
7853,MO,RAY,29177,2008,23764.0
7854,MO,REYNOLDS,29179,2008,6688.0
7855,MO,RIPLEY,29181,2008,14039.0
7856,MO,SAINT CHARLES,29183,2008,351179.0
7857,MO,SAINT CLAIR,29185,2008,9757.0
7858,MO,SAINTE GENEVIEVE,29186,2008,18186.0
7859,MO,SAINT FRANCOIS,29187,2008,64280.0
7860,MO,SAINT LOUIS,29189,2008,998331.0
7861,MO,SALINE,29195,2008,22967.0
